type,id,brand,model,year,tire_type,inner_tube,price_range,width_specified,width_measured,width_specified_unit,weight_specified,weight_measured,tread,casing,perc_tread,rr_medium,rr_high,rr_extra_high,rr_ultra_high,wet_grip_average,wet_grip_center,wet_grip_edge,puncture_score_tread,puncture_score_sidewall,puncture_force_sharp_tread,puncture_force_sharp_sidewall,puncture_force_blunt_tread,puncture_force_blunt_sidewall,tire_thickness_tread,tire_thickness_sidewall,rating,replaced,rr_extra_low,rr_low,knob_height_center,knob_height_edge
road,pirelli-p-zero-velo-2017,Pirelli,P Zero Velo 25,2017.0,TT,Butyl,High,25.0,27.4,mm,210.0,210.0,,,,17.2,14.6,13.2,12.5,,,,54.0,12.0,12.0,4.8,,,2.6,0.6,5.0,False,,,,
road,vittoria-corsa-pro-control-tlr,Vittoria,Corsa Pro Control TLR 28,2023.0,TLR,None,High+,28.0,27.7,mm,310.0,307.0,32.0,73.0,44.0,17.9,15.1,13.4,12.5,73.0,73.0,72.0,50.0,11.0,11.4,3.6,9.4,4.0,2.8,0.7,4.1,False,,,,
road,vittoria-corsa-control-g2-tlr,Vittoria,Corsa Control G+ 2.0 TLR 25,2020.0,TLR,None,High,25.0,26.8,mm,300.0,307.0,34.0,70.0,49.0,16.8,14.6,13.3,12.6,71.0,70.0,72.0,53.0,14.0,12.0,5.0,9.8,4.0,2.9,1.05,4.1,False,,,,
road,pirelli-p-zero-race,Pirelli,P Zero Race 26,2021.0,TT,Butyl,High,26.0,26.3,mm,205.0,204.0,28.0,66.0,42.0,17.3,15.0,13.5,12.6,60.0,61.0,60.0,55.0,11.0,11.8,4.6,13.6,4.0,2.3,0.55,3.7,False,,,,
road,schwalbe-pro-one-tubetype-2020,Schwalbe,Pro One (tubetype) Addix 25,2020.0,TT,Butyl,High,25.0,25.3,mm,235.0,243.0,30.0,62.0,48.0,18.7,15.4,13.8,12.8,63.0,55.0,71.0,48.0,18.0,11.4,5.8,8.0,7.6,2.9,0.7,4.0,False,,,,
road,pirelli-p-zero-race-tlr-4s,Pirelli,P Zero Race TLR 4S SpeedCore 28,2023.0,TLR,None,High+,28.0,28.4,mm,330.0,330.0,31.0,70.0,44.0,18.3,15.4,13.8,12.8,76.0,76.0,76.0,64.0,22.0,14.0,7.0,11.0,7.4,3.1,1.0,4.8,False,,,,
road,specialized-s-works-mondo-2br-28,Specialized,S-Works Mondo 2Bliss Ready T2/T5 28,2023.0,TLR,None,High+,28.0,29.0,mm,310.0,325.0,33.0,71.0,46.0,18.6,15.7,13.8,12.8,74.0,79.0,69.0,64.0,19.0,12.0,5.8,14.2,6.6,2.9,1.1,4.5,False,,,,
road,schwalbe-ironman-tubeless-2015,Schwalbe,Ironman Tubeless 24,2015.0,TLR,None,High,24.0,25.4,mm,330.0,336.0,,,,16.6,14.5,13.5,12.9,,,,66.0,24.0,13.4,7.6,,,3.2,1.2,3.0,True,,,,
road,vittoria-corsa-elite-2017,Vittoria,Corsa Elite (tubular) 25,2017.0,TU,Tubular,High,25.0,25.0,mm,290.0,298.0,,,,18.1,15.4,13.6,12.9,,,,51.0,9.0,12.0,3.4,,,2.4,0.6,4.0,False,,,,
road,tufo-comtura-4-tr,Tufo,Comtura 4 TR 28,2023.0,TLR,None,High,28.0,29.3,mm,280.0,294.0,36.0,75.0,48.0,18.7,15.6,13.9,12.9,68.0,71.0,65.0,74.0,17.0,16.0,7.0,15.6,5.6,2.7,0.7,4.1,False,,,,
road,cadex-race-tubeless,Cadex,Race Tubeless 25,2022.0,TLR,None,High+,25.0,26.2,mm,270.0,276.0,31.0,67.0,46.0,18.2,15.3,13.8,13.0,71.0,74.0,68.0,48.0,17.0,9.6,5.8,11.2,5.4,2.6,1.0,3.5,False,,,,
road,vittoria-corsa-graphene2,Vittoria,Corsa G+ 2.0 (open) 25,2019.0,TT,Butyl,High,25.0,26.6,mm,255.0,260.0,31.0,70.0,44.0,18.6,15.5,14.0,13.0,69.0,67.0,72.0,49.0,15.0,12.0,5.6,9.4,4.6,2.6,0.9,4.0,False,,,,
road,maxxis-padrone-tr-2018,Maxxis,Padrone Tubeless Ready 25,2018.0,TLR,None,High,25.0,25.0,mm,270.0,264.0,24.0,64.0,38.0,19.3,15.8,14.0,13.1,,,,54.0,15.0,12.0,5.2,,,2.6,0.9,4.0,False,,,,
road,hutchinson-fusion-5-performance-2017,Hutchinson,Fusion 5 Performance TL 25,2017.0,TLR,None,High,25.0,25.7,mm,315.0,323.0,23.0,62.0,37.0,17.8,15.8,14.0,13.1,,,,53.0,26.0,11.0,7.8,,,3.0,1.3,5.0,True,,,,
road,maxxis-high-road,Maxxis,High Road 25,2019.0,TT,Butyl,High,25.0,27.4,mm,210.0,209.0,27.0,67.0,40.0,18.2,16.0,14.2,13.2,68.0,68.0,69.0,53.0,13.0,13.0,4.6,10.2,6.0,2.6,0.5,4.0,False,,,,
road,vittoria-open-corsa-cx-iii-2014,Vittoria,Open Corsa CX III 25,2014.0,TT,Butyl,High,25.0,27.6,mm,220.0,237.0,,,,17.8,15.5,14.1,13.3,,,,,,12.0,,,,,,4.0,True,,,,
road,challenge-strada-pro-2017,Challenge,Strada Pro 25,2017.0,TT,Butyl,High,25.0,26.9,mm,240.0,254.0,,,,17.9,15.3,14.0,13.4,,,,49.0,9.0,11.8,3.0,,,2.3,1.0,3.0,False,,,,
road,veloflex-corsa-2016,Veloflex,Corsa 25,2016.0,TT,Butyl,High,25.0,25.2,mm,205.0,200.0,,,,18.2,15.8,14.0,13.4,,,,51.0,12.0,12.8,4.2,,,2.1,0.75,4.0,True,,,,
road,vittoria-rubino-pro-iii-2014,Vittoria,Rubino Pro III 25,2014.0,TT,Butyl,Med,25.0,26.1,mm,235.0,238.0,,,,18.6,16.0,14.0,13.4,,,,60.0,,12.2,7.4,,3.8,3.2,0.55,4.0,True,,,,
road,specialized-s-works-turbo-2016,Specialized,S-Works Turbo 24,2016.0,TT,Butyl,High,24.0,25.2,mm,210.0,215.0,30.0,60.0,50.0,19.6,16.3,14.4,13.4,,,,47.0,12.0,10.0,4.6,,,2.8,0.5,3.0,False,,,,
road,bontrager-r3-hard-case-lite-tlr,Bontrager,R3 Hard-Case Lite TLR 25,2021.0,TLR,None,High+,25.0,25.9,mm,285.0,300.0,26.0,65.0,40.0,18.9,16.3,14.4,13.6,67.0,70.0,64.0,55.0,17.0,10.6,5.2,12.4,6.2,2.8,1.0,3.0,False,,,,
road,pirelli-p-zero-road,Pirelli,P Zero Road 26,2021.0,TT,Butyl,High,26.0,25.6,mm,235.0,222.0,29.0,65.0,45.0,20.3,17.0,14.8,13.7,68.0,70.0,67.0,42.0,13.0,10.2,6.0,8.0,4.4,2.6,0.55,3.0,False,,,,
road,rene-herse-chinook-pass-extralight,Rene Herse,Chinook Pass Extralight 28,2023.0,TT,Butyl,High+,28.0,28.0,mm,225.0,216.0,36.0,73.0,49.0,18.7,15.9,14.4,13.8,58.0,57.0,58.0,40.0,9.0,9.8,3.8,9.2,4.0,2.2,0.4,2.7,False,,,,
road,specialized-turbo-t2-t5,Specialized,S-Works Turbo T2/T5 26,2023.0,TT,Butyl,High,26.0,25.3,mm,220.0,233.0,30.0,62.0,48.0,20.1,16.6,14.8,13.8,73.0,75.0,71.0,74.0,14.0,17.4,5.2,13.0,5.6,2.9,0.65,4.0,False,,,,
road,panaracer-race-l-evo-3-2018,Panaracer,Race L Evo 3 25,2018.0,TT,Butyl,High,25.0,27.0,mm,200.0,199.0,30.0,69.0,43.0,19.0,16.4,14.6,13.9,,,,59.0,17.0,14.4,6.8,,,2.2,0.5,4.0,False,,,,
road,goodyear-eagle-f1-tubeless,Goodyear,Eagle F1 TLC 25,2021.0,TLR,None,High,25.0,25.7,mm,275.0,280.0,25.0,64.0,39.0,18.8,16.1,14.7,13.9,67.0,68.0,65.0,43.0,18.0,9.2,6.2,8.8,6.4,2.8,0.9,3.0,False,,,,
road,continental-grand-prix-2014,Continental,Grand Prix 25,2014.0,TT,Butyl,Med,25.0,26.3,mm,245.0,239.0,,,,18.5,15.9,14.5,14.0,,,,,,13.0,,,,,,4.0,False,,,,
road,vittoria-corsa-next,Vittoria,Corsa N.EXT 26,2023.0,TT,Butyl,High,26.0,25.5,mm,200.0,200.0,25.0,62.0,40.0,19.7,16.8,15.0,14.0,73.0,71.0,74.0,51.0,14.0,11.8,5.0,9.4,5.6,2.7,0.6,4.0,False,,,,
